****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 15 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 28x416407
Performing five EM steps to prime main algorithm
165 (QN/Block) 	Elapsed: 3.551	Loglikelihood: -4.92966e+06	(delta): -18.0528
166 (QN/Block) 	Elapsed: 3.546	Loglikelihood: -4.92966e+06	(delta): -0.835987
167 (QN/Block) 	Elapsed: 3.354	Loglikelihood: -4.92964e+06	(delta): 15.3558
168 (QN/Block) 	Elapsed: 3.377	Loglikelihood: -4.92964e+06	(delta): 5.26538
169 (QN/Block) 	Elapsed: 3.65	Loglikelihood: -4.92964e+06	(delta): 0.705633
170 (QN/Block) 	Elapsed: 3.627	Loglikelihood: -4.92963e+06	(delta): 3.2562
171 (QN/Block) 	Elapsed: 3.631	Loglikelihood: -4.92964e+06	(delta): -1.44997
172 (QN/Block) 	Elapsed: 3.633	Loglikelihood: -4.92963e+06	(delta): 1.08973
173 (QN/Block) 	Elapsed: 3.61	Loglikelihood: -4.92964e+06	(delta): -4.26709
174 (QN/Block) 	Elapsed: 3.554	Loglikelihood: -4.92964e+06	(delta): -1.55259
175 (QN/Block) 	Elapsed: 3.594	Loglikelihood: -4.92965e+06	(delta): -5.50271
176 (QN/Block) 	Elapsed: 3.735	Loglikelihood: -4.92964e+06	(delta): 1.09079
177 (QN/Block) 	Elapsed: 3.471	Loglikelihood: -4.92964e+06	(delta): -0.175543
178 (QN/Block) 	Elapsed: 3.442	Loglikelihood: -4.92964e+06	(delta): -0.0444622
179 (QN/Block) 	Elapsed: 3.229	Loglikelihood: -4.92965e+06	(delta): -4.44969
180 (QN/Block) 	Elapsed: 3.178	Loglikelihood: -4.92965e+06	(delta): 1.97349
181 (QN/Block) 	Elapsed: 3.186	Loglikelihood: -4.92965e+06	(delta): 0.632037
182 (QN/Block) 	Elapsed: 3.205	Loglikelihood: -4.92965e+06	(delta): -0.0467814
183 (QN/Block) 	Elapsed: 3.261	Loglikelihood: -4.92965e+06	(delta): 0.722691
184 (QN/Block) 	Elapsed: 3.271	Loglikelihood: -4.92965e+06	(delta): 0.485804
185 (QN/Block) 	Elapsed: 3.226	Loglikelihood: -4.92965e+06	(delta): -0.0967337
186 (QN/Block) 	Elapsed: 3.223	Loglikelihood: -4.92965e+06	(delta): 0.054208
187 (QN/Block) 	Elapsed: 3.375	Loglikelihood: -4.92964e+06	(delta): 0.884897
188 (QN/Block) 	Elapsed: 3.732	Loglikelihood: -4.92964e+06	(delta): 0.638365
189 (QN/Block) 	Elapsed: 3.711	Loglikelihood: -4.92966e+06	(delta): -19.1294
190 (QN/Block) 	Elapsed: 3.558	Loglikelihood: -4.92966e+06	(delta): 0.0372795
191 (QN/Block) 	Elapsed: 3.845	Loglikelihood: -4.92966e+06	(delta): -0.306161
192 (QN/Block) 	Elapsed: 3.866	Loglikelihood: -4.92966e+06	(delta): 0.485461
193 (QN/Block) 	Elapsed: 3.635	Loglikelihood: -4.92966e+06	(delta): 0.327649
194 (QN/Block) 	Elapsed: 3.601	Loglikelihood: -4.92966e+06	(delta): 0.167641
195 (QN/Block) 	Elapsed: 3.392	Loglikelihood: -4.92966e+06	(delta): 0.109762
196 (QN/Block) 	Elapsed: 3.491	Loglikelihood: -4.92966e+06	(delta): 0.643551
197 (QN/Block) 	Elapsed: 3.413	Loglikelihood: -4.92966e+06	(delta): -0.23262
198 (QN/Block) 	Elapsed: 3.422	Loglikelihood: -4.92966e+06	(delta): -0.620881
199 (QN/Block) 	Elapsed: 3.686	Loglikelihood: -4.92966e+06	(delta): 0.150479
200 (QN/Block) 	Elapsed: 3.559	Loglikelihood: -4.92966e+06	(delta): -0.676246
201 (QN/Block) 	Elapsed: 3.268	Loglikelihood: -4.92966e+06	(delta): 1.09114
202 (QN/Block) 	Elapsed: 3.559	Loglikelihood: -4.92966e+06	(delta): -0.0443148
203 (QN/Block) 	Elapsed: 3.813	Loglikelihood: -4.92966e+06	(delta): -0.0651268
204 (QN/Block) 	Elapsed: 3.871	Loglikelihood: -4.92966e+06	(delta): 0.0405594
205 (QN/Block) 	Elapsed: 3.785	Loglikelihood: -4.92977e+06	(delta): -110.442
206 (QN/Block) 	Elapsed: 3.782	Loglikelihood: -4.92976e+06	(delta): 8.00173
207 (QN/Block) 	Elapsed: 3.731	Loglikelihood: -4.92975e+06	(delta): 19.0906
208 (QN/Block) 	Elapsed: 3.695	Loglikelihood: -4.92973e+06	(delta): 17.9384
209 (QN/Block) 	Elapsed: 3.696	Loglikelihood: -4.92971e+06	(delta): 19.1031
210 (QN/Block) 	Elapsed: 3.406	Loglikelihood: -4.92969e+06	(delta): 22.9747
211 (QN/Block) 	Elapsed: 3.386	Loglikelihood: -4.92967e+06	(delta): 18.6917
212 (QN/Block) 	Elapsed: 3.46	Loglikelihood: -4.92966e+06	(delta): 10.9386
213 (QN/Block) 	Elapsed: 3.435	Loglikelihood: -4.92965e+06	(delta): 8.90941
214 (QN/Block) 	Elapsed: 3.518	Loglikelihood: -4.92965e+06	(delta): 0.839233
215 (QN/Block) 	Elapsed: 3.713	Loglikelihood: -4.92964e+06	(delta): 7.62945
216 (QN/Block) 	Elapsed: 3.7	Loglikelihood: -4.92963e+06	(delta): 8.59502
217 (QN/Block) 	Elapsed: 3.71	Loglikelihood: -4.92963e+06	(delta): 0.283863
